,ITEM_CTG_ID,ITEM_CTG_DESC,ITEM_GRP_ID,ITEM_GRP_DESC,GINNO,GINDATE,ENTITY,SEGMENT,COST_CENTER,C_CENTER_ID,C_CENTER_NAME,JOBNO,UNITNO,RATE,MACHINENO1,MARATE,REMARKS,CAPITAL,QUANTITY,ITEMNO,INVENTORY_ITEM_NO,INV_ITEM_DESCRIPTION,UOM_DESC,AMOUNT1,BAL1,MDESC1,LASTISSUE1,LASTISSUEDT,COSTCENTER,SUMQTY,SUMAMT,GAP,GAMOUNT,CODE1,CODE2,GQTY,PERIOD
24,6,AIR CONDITIONER,22,ELECTRICAL EQUIPMENT,849829,12-Jun-21,,,90183,90183,YTML-Stitching-YTM-07-General-Store-Accessories Store,,,72650.0,,,,,2.0,7232422007,7232422007,AIR CONDITIONER 1.5 TON SPLIT INVERTER TYPE (HAIER) (L-F) (Fixed-Local),NOS,145300.0,0.0,,,,,2.0,145300.0,,38086160.02,,,783755340.3,
146,29,BEARING,18,MECHANICAL,889064,19-Nov-21,,,90183,90183,YTML-Stitching-YTM-07-General-Store-Accessories Store,,,565.0,,,,,4.0,645,645,BALL BEARING 6204-2RSH C3 SKF (Consumable-Local),NOS,2260.0,0.0,,,,,4.0,2260.0,,38086160.02,,,783755340.3,
244,34,BIN,21,GENERAL MATERIAL,851749,21-Jun-21,,,90183,90183,YTML-Stitching-YTM-07-General-Store-Accessories Store,,,465.0,,,,,2.0,28482,28482,PLASTIC DUST BIN WITH PADEL (MEDIUM SIZE) (Consumable-Local),NOS,930.0,0.0,,,,,2.0,930.0,,38086160.02,,,783755340.3,
555,45,BOLT/NUT,18,MECHANICAL,849819,12-Jun-21,,,90183,90183,YTML-Stitching-YTM-07-General-Store-Accessories Store,,,21.38461538,,,,,4.0,6421122001,6421122001,MS RAWAL BOLT 10X75MM (---) (L-F) (Fixed-Local),NOS,85.53846154,396.0,,,,,4.0,85.53846154,,38086160.02,,,783755340.3,
940,49,BOX,17,ELECTRICAL,836958,17-Apr-21,,,90183,90183,YTML-Stitching-YTM-07-General-Store-Accessories Store,,,25.64,,,,,40.0,31469,31469,"BACK BOX (PVC) 3""X3"" BAYLAN (Fixed-Local)",NOS,1025.6,0.0,,,,,40.0,1025.6,,38086160.02,,,783755340.3,
1032,60,BULB/LIGHT/LAMP,17,ELECTRICAL,745801,27-Feb-20,,,90183,90183,YTML-Stitching-YTM-07-General-Store-Accessories Store,,,6000.0,,,,,12.0,5542921016,5542921016,LED LIGHT 100 WATT (INDORE TANGO) (L-C) (Consumable-Local),NOS,72000.0,0.0,,,,,12.0,72000.0,,38086160.02,,,783755340.3,
1066,60,BULB/LIGHT/LAMP,17,ELECTRICAL,836696,17-Apr-21,,,90183,90183,YTML-Stitching-YTM-07-General-Store-Accessories Store,,,5800.0,,,,,20.0,7686922001,7686922001,"PANEL LIGHT 2X2"" (---) (L-F) (Fixed-Local)",NOS,116000.0,20.0,,,,,20.0,116000.0,,38086160.02,,,783755340.3,
1197,68,CABLE,17,ELECTRICAL,836696,17-Apr-21,,,90183,90183,YTML-Stitching-YTM-07-General-Store-Accessories Store,,,4210.0,,,,,5.0,51873,51873,CABLE 7/29 BLUE (Fixed-Local),COL,21050.0,0.0,,,,,65.0,36050.0,,38086160.02,,,783755340.3,
1198,68,CABLE,17,ELECTRICAL,836696,17-Apr-21,,,90183,90183,YTML-Stitching-YTM-07-General-Store-Accessories Store,,,250.0,,,,,60.0,7687022001,7687022001,CABLE (FLEX-CABLE) 6MM X 5-CORE (---) (L-F) (Fixed-Local),RFT,15000.0,0.0,,,,,65.0,36050.0,,38086160.02,,,783755340.3,
1202,68,CABLE,17,ELECTRICAL,849817,12-Jun-21,,,90183,90183,YTML-Stitching-YTM-07-General-Store-Accessories Store,,,375.0,,,,,198.0,33231,33231,"CABLE FLEXIBLE 4 CORE, 4 MM (Consumable-Local)",MTR,74250.0,0.0,,,,,198.0,74250.0,,38086160.02,,,783755340.3,
1272,79,CARD,20,STATIONARY,790679,16-Oct-20,,,90183,90183,YTML-Stitching-YTM-07-General-Store-Accessories Store,,,3.9,,,,,5000.0,43652,43652,ACCESSORIES IDENTIFICATION CARD (BOX BOARD 250 GSM) (SIZE : 19 CM X 19 CM) (Consumable-Local),NOS,19500.0,0.0,,,,,5000.0,19500.0,,38086160.02,,,783755340.3,
1280,83,CARTRIDGE,13,COMPUTERS & ACCESSORIES,866484,24-Aug-21,,,90183,90183,YTML-Stitching-YTM-07-General-Store-Accessories Store,,,2200.0,,,,,1.0,7864021003,7864021003,REFURBISH PRINTER CARTRIDGE 76-A (HP) (L-C) (Consumable-Local),NOS,2200.0,1.0,,,,,1.0,2200.0,,38086160.02,,,783755340.3,
1287,83,CARTRIDGE,13,COMPUTERS & ACCESSORIES,873722,20-Sep-21,,,90183,90183,YTML-Stitching-YTM-07-General-Store-Accessories Store,,,2200.0,,,,,1.0,7864021003,7864021003,REFURBISH PRINTER CARTRIDGE 76-A (HP) (L-C) (Consumable-Local),NOS,2200.0,0.0,,,,,1.0,2200.0,,38086160.02,,,783755340.3,
1295,83,CARTRIDGE,13,COMPUTERS & ACCESSORIES,885636,05-Nov-21,,,90183,90183,YTML-Stitching-YTM-07-General-Store-Accessories Store,,,4400.0,,,,,1.0,7864121003,7864121003,RECYCLING PRINTER CARTRIDGE 76-A (HP) (L-C) (Consumable-Local),NOS,4400.0,0.0,,,,,1.0,4400.0,,38086160.02,,,783755340.3,
1301,86,CATCHER,22,ELECTRICAL EQUIPMENT,883760,29-Oct-21,,,90183,90183,YTML-Stitching-YTM-07-General-Store-Accessories Store,,,5390.0,,,,,3.0,24208,24208,ELECTRIC FLY CATCHER 1-FEET WITH TWO TUBE LIGHT LIDO HANGING TYPE U.V (Consumable-Local),NOS,16170.0,12.0,,,,,3.0,16170.0,,38086160.02,,,783755340.3,
1304,89,CHAIR,15,FURNITURE & FIXTURES,851625,18-Jun-21,,,90183,90183,YTML-Stitching-YTM-07-General-Store-Accessories Store,,,8800.0,,,,,2.0,6008321002,6008321002,VISITOR CHAIR FIX AURA (MASTER) (L-C) (Consumable-Local),NOS,17600.0,0.0,,,,,2.0,17600.0,,38086160.02,,,783755340.3,
1311,89,CHAIR,21,GENERAL MATERIAL,851625,18-Jun-21,,,90183,90183,YTML-Stitching-YTM-07-General-Store-Accessories Store,,,9850.0,,,,,7.0,7516421001,7516421001,AERON LITE MESH CHAIR (---) (L-C) (Consumable-Local),NOS,68950.0,0.0,,,,,7.0,68950.0,,38086160.02,,,783755340.3,
1427,105,CLIPPER,21,GENERAL MATERIAL,762078,13-Jun-20,,,90183,90183,YTML-Stitching-YTM-07-General-Store-Accessories Store,,,35.0,,,,,4.0,22999,22999,"COLOR CLIPPER BLACK, BLUE, YELLOW, GREEN HIGH QUALITY (Consumable-Local)",PCS,140.0,190.0,,,,,4.0,140.0,,38086160.02,,,783755340.3,
1466,105,CLIPPER,21,GENERAL MATERIAL,784618,28-Sep-20,,,90183,90183,YTML-Stitching-YTM-07-General-Store-Accessories Store,,,35.0,,,,,2.0,22999,22999,"COLOR CLIPPER BLACK, BLUE, YELLOW, GREEN HIGH QUALITY (Consumable-Local)",PCS,70.0,137.0,,,,,2.0,70.0,,38086160.02,,,783755340.3,
1697,144,CROCKERY,21,GENERAL MATERIAL,857210,10-Jul-21,,,90183,90183,YTML-Stitching-YTM-07-General-Store-Accessories Store,,,367.5,,,,,2.0,41880,41880,PLATE SMALL SIZE (GOOD QUALITY) FOR GUEST/CUSTOMER (Consumable-Local),NOS,735.0,4.0,,,,,7.0,2597.0,,38086160.02,,,783755340.3,
1698,144,CROCKERY,21,GENERAL MATERIAL,857210,10-Jul-21,,,90183,90183,YTML-Stitching-YTM-07-General-Store-Accessories Store,,,1610.0,,,,,1.0,41878,41878,CUP/SAUCER (GOOD QUALITY) FOR GUEST/CUSTOMER (Consumable-Local),SET,1610.0,1.0,,,,,7.0,2597.0,,38086160.02,,,783755340.3,
1699,144,CROCKERY,21,GENERAL MATERIAL,857210,10-Jul-21,,,90183,90183,YTML-Stitching-YTM-07-General-Store-Accessories Store,,,63.0,,,,,2.0,16503,16503,SPOON (RICE SPOON) (Consumable-Local),NOS,126.0,16.0,,,,,7.0,2597.0,,38086160.02,,,783755340.3,
1700,144,CROCKERY,21,GENERAL MATERIAL,857210,10-Jul-21,,,90183,90183,YTML-Stitching-YTM-07-General-Store-Accessories Store,,,63.0,,,,,2.0,16910,16910,SPOON (TEA SPOON) (Consumable-Local),NOS,126.0,22.0,,,,,7.0,2597.0,,38086160.02,,,783755340.3,
1713,144,CROCKERY,21,GENERAL MATERIAL,886123,08-Nov-21,,,90183,90183,YTML-Stitching-YTM-07-General-Store-Accessories Store,,,70.0,,,,,6.0,41877,41877,WATER GLASS (GOOD QUALITY) FOR GUEST/CUSTOMER (Consumable-Local),NOS,420.0,0.0,,,,,24.0,3475.5,,38086160.02,,,783755340.3,
1714,144,CROCKERY,21,GENERAL MATERIAL,886123,08-Nov-21,,,90183,90183,YTML-Stitching-YTM-07-General-Store-Accessories Store,,,377.25,,,,,6.0,41880,41880,PLATE SMALL SIZE (GOOD QUALITY) FOR GUEST/CUSTOMER (Consumable-Local),NOS,2263.5,6.0,,,,,24.0,3475.5,,38086160.02,,,783755340.3,
1715,144,CROCKERY,21,GENERAL MATERIAL,886123,08-Nov-21,,,90183,90183,YTML-Stitching-YTM-07-General-Store-Accessories Store,,,66.0,,,,,12.0,16503,16503,SPOON (RICE SPOON) (Consumable-Local),NOS,792.0,6.0,,,,,24.0,3475.5,,38086160.02,,,783755340.3,
1850,159,DISPENSER,22,ELECTRICAL EQUIPMENT,875442,27-Sep-21,,,90183,90183,YTML-Stitching-YTM-07-General-Store-Accessories Store,,,13846.16,,,,,1.0,24490,24490,"WATER DISPENSER OWD-531, HOT TANK CAPACITY 1.4LTR, COOL TANK CAPACITY 3.5LTR REFREGRENT BOX 19.5LTR ORIENT (Consumable-Local)",NOS,13846.16,0.0,,,,,1.0,13846.16,,38086160.02,,,783755340.3,
1863,170,DUCT,17,ELECTRICAL,836958,17-Apr-21,,,90183,90183,YTML-Stitching-YTM-07-General-Store-Accessories Store,,,53.84,,,,,150.0,26258,26258,"CHANNEL DUCT (PVC) 1"" X 1"" ADAMJEE (Fixed-Local)",FT,8076.0,0.0,,,,,150.0,8076.0,,38086160.02,,,783755340.3,
1913,185,FAN,17,ELECTRICAL,754159,30-Apr-20,,,90183,90183,YTML-Stitching-YTM-07-General-Store-Accessories Store,,,4030.0,,,,,2.0,1661,1661,"BRACKET FAN 18"" PAK FAN (Consumable-Local)",PCS,8060.0,0.0,,,,,4.0,21460.0,,38086160.02,,,783755340.3,
1914,185,FAN,17,ELECTRICAL,754159,30-Apr-20,,,90183,90183,YTML-Stitching-YTM-07-General-Store-Accessories Store,,,6700.0,,,,,2.0,32513,32513,"PADESTAL FAN 24"" (PAK FAN) (Consumable-Local)",NOS,13400.0,0.0,,,,,4.0,21460.0,,38086160.02,,,783755340.3,
1925,185,FAN,17,ELECTRICAL,851752,25-Jun-21,,,90183,90183,YTML-Stitching-YTM-07-General-Store-Accessories Store,,,4400.0,,,,,2.0,35239,35239,"CEILING FAN 56"" DELUXE PAK FAN (Fixed-Local)",PCS,8800.0,28.0,,,,,2.0,8800.0,,38086160.02,,,783755340.3,
1946,189,FILE,20,STATIONARY,774147,05-Aug-20,,,90183,90183,YTML-Stitching-YTM-07-General-Store-Accessories Store,,,84.0,,,,,12.0,22457,22457,BOX FILE KORONA (Consumable-Local),PCS,1008.0,12.0,,,,,24.0,2430.0,,38086160.02,,,783755340.3,
1947,189,FILE,20,STATIONARY,774147,05-Aug-20,,,90183,90183,YTML-Stitching-YTM-07-General-Store-Accessories Store,,,72.0,,,,,6.0,5005,5005,FIBRE PAPER CLIP FILE (Consumable-Local),NOS,432.0,0.0,,,,,24.0,2430.0,,38086160.02,,,783755340.3,
1948,189,FILE,20,STATIONARY,774147,05-Aug-20,,,90183,90183,YTML-Stitching-YTM-07-General-Store-Accessories Store,,,165.0,,,,,6.0,1602,1602,BOX FILE EXECUTIVE LARGE EAGLE (Consumable-Local),NOS,990.0,6.0,,,,,24.0,2430.0,,38086160.02,,,783755340.3,
1955,189,FILE,20,STATIONARY,792128,22-Oct-20,,,90183,90183,YTML-Stitching-YTM-07-General-Store-Accessories Store,,,72.0,,,,,10.0,16707,16707,FILE (RING FILE) (Consumable-Local),NOS,720.0,135.0,,,,,22.0,2696.424828,,38086160.02,,,783755340.3,
1956,189,FILE,20,STATIONARY,792128,22-Oct-20,,,90183,90183,YTML-Stitching-YTM-07-General-Store-Accessories Store,,,164.702069,,,,,12.0,1602,1602,BOX FILE EXECUTIVE LARGE EAGLE (Consumable-Local),NOS,1976.424828,10.0,,,,,22.0,2696.424828,,38086160.02,,,783755340.3,
1990,189,FILE,20,STATIONARY,802932,03-Dec-20,,,90183,90183,YTML-Stitching-YTM-07-General-Store-Accessories Store,,,72.0,,,,,15.0,5005,5005,FIBRE PAPER CLIP FILE (Consumable-Local),NOS,1080.0,0.0,,,,,28.0,2016.0,,38086160.02,,,783755340.3,
1991,189,FILE,20,STATIONARY,802932,03-Dec-20,,,90183,90183,YTML-Stitching-YTM-07-General-Store-Accessories Store,,,72.0,,,,,13.0,16707,16707,FILE (RING FILE) (Consumable-Local),NOS,936.0,0.0,,,,,28.0,2016.0,,38086160.02,,,783755340.3,
1995,189,FILE,20,STATIONARY,808220,24-Dec-20,,,90183,90183,YTML-Stitching-YTM-07-General-Store-Accessories Store,,,165.0,,,,,10.0,1602,1602,BOX FILE EXECUTIVE LARGE EAGLE (Consumable-Local),NOS,1650.0,14.0,,,,,10.0,1650.0,,38086160.02,,,783755340.3,
