,ITEM_CTG_ID,ITEM_CTG_DESC,ITEM_GRP_ID,ITEM_GRP_DESC,GINNO,GINDATE,ENTITY,SEGMENT,COST_CENTER,C_CENTER_ID,C_CENTER_NAME,JOBNO,UNITNO,RATE,MACHINENO1,MARATE,REMARKS,CAPITAL,QUANTITY,ITEMNO,INVENTORY_ITEM_NO,INV_ITEM_DESCRIPTION,UOM_DESC,AMOUNT1,BAL1,MDESC1,LASTISSUE1,LASTISSUEDT,COSTCENTER,SUMQTY,SUMAMT,GAP,GAMOUNT,CODE1,CODE2,GQTY,PERIOD
9026,385,ROD,19,"HARDWARE MATERIAL, PIPE & FITTINGS",813561,15-Jan-21,,,90174,90174,YTML-Stitching-YTM-07-General-General-General,,,670.0,,,,,20.0,23778,23778,MS WELDING ROD # 12  KISWEL KOREA (Consumable-Local),KGS,13400.0,0.0,,,,,20.0,13400.0,,38086160.02,,,783755340.3,
9136,395,SCISSOR,20,STATIONARY,759738,03-Jun-20,,,90174,90174,YTML-Stitching-YTM-07-General-General-General,,,40.0,,,,,30.0,12239,12239,"SCISSOR 5"" SMALL (Consumable-Local)",NOS,1200.0,0.0,,,,,30.0,1200.0,,38086160.02,,,783755340.3,
9333,398,SCREW,19,"HARDWARE MATERIAL, PIPE & FITTINGS",772030,07-Aug-20,,,90174,90174,YTML-Stitching-YTM-07-General-General-General,,,110.0,,,,,10.0,16358,16358,"WOODEN SCREW 1""X8 NO (Consumable-Local)",PKT,1100.0,10.0,,,,,10.0,1100.0,,38086160.02,,,783755340.3,
9337,398,SCREW,19,"HARDWARE MATERIAL, PIPE & FITTINGS",810607,04-Jan-21,,,90174,90174,YTML-Stitching-YTM-07-General-General-General,,,130.0,,,,,12.0,16358,16358,"WOODEN SCREW 1""X8 NO (Consumable-Local)",PKT,1560.0,0.0,,,,,12.0,1560.0,,38086160.02,,,783755340.3,
9353,401,SENSOR,17,ELECTRICAL,859228,19-Jul-21,,,90174,90174,YTML-Stitching-YTM-07-General-General-General,,,2632.476667,,,,,3.0,12696,12696,"SENSOR (SWITCH) PROXIMITY PR-12 4DP AUTONICS, KOREA (Consumable-Local)",NOS,7897.43,0.0,,,,,3.0,7897.43,,38086160.02,,,783755340.3,
9426,406,SHEET,21,GENERAL MATERIAL,772030,07-Aug-20,,,90174,90174,YTML-Stitching-YTM-07-General-General-General,,,900.0,,,,,20.0,33672,33672,LAMINATION SHEET BACK 8' X 4' X 5MM BROWN (Consumable-Local),NOS,18000.0,0.0,,,,,20.0,18000.0,,38086160.02,,,783755340.3,
9454,411,SHOE,21,GENERAL MATERIAL,763928,23-Jun-20,,,90174,90174,YTML-Stitching-YTM-07-General-General-General,,,1185.0,,,,,4.0,36638,36638,SAFETY SHOES # 11 (JAGUAR) (Consumable-Local),PRS,4740.0,0.0,,,,,11.0,13035.0,,38086160.02,,,783755340.3,
9455,411,SHOE,21,GENERAL MATERIAL,763928,23-Jun-20,,,90174,90174,YTML-Stitching-YTM-07-General-General-General,,,1185.0,,,,,2.0,36633,36633,SAFETY SHOES # 6 (JAGUAR) (Consumable-Local),PRS,2370.0,0.0,,,,,11.0,13035.0,,38086160.02,,,783755340.3,
9456,411,SHOE,21,GENERAL MATERIAL,763928,23-Jun-20,,,90174,90174,YTML-Stitching-YTM-07-General-General-General,,,1185.0,,,,,3.0,36636,36636,SAFETY SHOES # 9 (JAGUAR) (Consumable-Local),PRS,3555.0,0.0,,,,,11.0,13035.0,,38086160.02,,,783755340.3,
9457,411,SHOE,21,GENERAL MATERIAL,763928,23-Jun-20,,,90174,90174,YTML-Stitching-YTM-07-General-General-General,,,1185.0,,,,,2.0,36634,36634,SAFETY SHOES # 7 (JAGUAR) (Consumable-Local),PRS,2370.0,0.0,,,,,11.0,13035.0,,38086160.02,,,783755340.3,
