,ITEM_CTG_ID,ITEM_CTG_DESC,ITEM_GRP_ID,ITEM_GRP_DESC,GINNO,GINDATE,ENTITY,SEGMENT,COST_CENTER,C_CENTER_ID,C_CENTER_NAME,JOBNO,UNITNO,RATE,MACHINENO1,MARATE,REMARKS,CAPITAL,QUANTITY,ITEMNO,INVENTORY_ITEM_NO,INV_ITEM_DESCRIPTION,UOM_DESC,AMOUNT1,BAL1,MDESC1,LASTISSUE1,LASTISSUEDT,COSTCENTER,SUMQTY,SUMAMT,GAP,GAMOUNT,CODE1,CODE2,GQTY,PERIOD
13,6,AIR CONDITIONER,22,ELECTRICAL EQUIPMENT,786211,01-Oct-20,,,90177,90177,YTML-Stitching-YTM-07 - Stitching-QUILTING-Single Needle,,,70854.7,,,,,1.0,39761,39761,AIR CONDITIONER 1.5 TON SPLIT GREE INVERTER TYPE (Fixed-Local),NOS,70854.7,0.0,,,,,1.0,70854.7,,38086160.02,,,783755340.3,
35,9,ANGLE,19,"HARDWARE MATERIAL, PIPE & FITTINGS",785726,01-Oct-20,,,90177,90177,YTML-Stitching-YTM-07 - Stitching-QUILTING-Single Needle,,,5000.0,,,,,4.0,32017,32017,L-BAND FOR SWITH TRACK (ALMUNIUM) (Consumable-Local),NOS,20000.0,0.0,,,,,4.0,20000.0,,38086160.02,,,783755340.3,
36,9,ANGLE,19,"HARDWARE MATERIAL, PIPE & FITTINGS",794327,31-Oct-20,,,90177,90177,YTML-Stitching-YTM-07 - Stitching-QUILTING-Single Needle,,,92.0,,,,,100.0,5786521001,5786521001,"ANGLE MS 1-1/2""X1-1/2"" 3/16"" . (---) (L-C) (Consumable-Local)",RFT,9200.0,0.0,,,,,100.0,9200.0,,38086160.02,,,783755340.3,
61,23,BAR,11,SPARE PARTS,784520,21-Sep-20,,,90177,90177,YTML-Stitching-YTM-07 - Stitching-QUILTING-Single Needle,,,100.0,,,,,2.0,20063,20063,NEEDLE BAR (110-35003) (JUKI) (Consumable-Local),PCS,200.0,46.0,,,,,2.0,200.0,,38086160.02,,,783755340.3,
69,23,BAR,11,SPARE PARTS,788652,08-Oct-20,,,90177,90177,YTML-Stitching-YTM-07 - Stitching-QUILTING-Single Needle,,,160.0,,,,,1.0,20078,20078,NEEDLE BAR BUSH DELTA (COMFORTER (Consumable-Local),PCS,160.0,3.0,,,,,1.0,160.0,,38086160.02,,,783755340.3,
76,23,BAR,11,SPARE PARTS,800003,24-Nov-20,,,90177,90177,YTML-Stitching-YTM-07 - Stitching-QUILTING-Single Needle,,,100.0,,,,,2.0,20063,20063,NEEDLE BAR (110-35003) (JUKI) (Consumable-Local),PCS,200.0,13.0,,,,,2.0,200.0,,38086160.02,,,783755340.3,
134,29,BEARING,18,MECHANICAL,732996,02-Jan-20,,,90177,90177,YTML-Stitching-YTM-07 - Stitching-QUILTING-Single Needle,,,355.0,,,,,6.0,595,595,BALL BEARING 6002-2RSH SKF (Consumable-Local),NOS,2130.0,0.0,,,,,10.0,3410.0,,38086160.02,,,783755340.3,
135,29,BEARING,18,MECHANICAL,732996,02-Jan-20,,,90177,90177,YTML-Stitching-YTM-07 - Stitching-QUILTING-Single Needle,,,320.0,,,,,4.0,600,600,BALL BEARING 6004 SKF (Consumable-Local),NOS,1280.0,0.0,,,,,10.0,3410.0,,38086160.02,,,783755340.3,
164,32,BELT,11,SPARE PARTS,755159,06-May-20,,,90177,90177,YTML-Stitching-YTM-07 - Stitching-QUILTING-Single Needle,,,650.0,,,,,2.0,21302,21302,TIMING BELT (HTD 600 5M) (DELTA MAC (Consumable-Local),PCS,1300.0,0.0,,,,,2.0,1300.0,,38086160.02,,,783755340.3,
207,32,BELT,18,MECHANICAL,791784,22-Oct-20,,,90177,90177,YTML-Stitching-YTM-07 - Stitching-QUILTING-Single Needle,,,240.0,,,,,12.0,15702,15702,V-BELT A-71 DONGIL KOREA (Consumable-Local),NOS,2880.0,0.0,,,,,24.0,6180.0,,38086160.02,,,783755340.3,
