,ITEM_CTG_ID,ITEM_CTG_DESC,ITEM_GRP_ID,ITEM_GRP_DESC,GINNO,GINDATE,ENTITY,SEGMENT,COST_CENTER,C_CENTER_ID,C_CENTER_NAME,JOBNO,UNITNO,RATE,MACHINENO1,MARATE,REMARKS,CAPITAL,QUANTITY,ITEMNO,INVENTORY_ITEM_NO,INV_ITEM_DESCRIPTION,UOM_DESC,AMOUNT1,BAL1,MDESC1,LASTISSUE1,LASTISSUEDT,COSTCENTER,SUMQTY,SUMAMT,GAP,GAMOUNT,CODE1,CODE2,GQTY,PERIOD
2085,189,FILE,20,STATIONARY,874102,22-Sep-21,,,90241,90241,YTML-Stitching-YTM-07-General-Sampling-General,,,75.0,,,,,6.0,16707,16707,FILE (RING FILE) (Consumable-Local),NOS,450.0,143.0,,,,,6.0,450.0,,38086160.02,,,783755340.3,
2818,206,GENERAL,21,GENERAL MATERIAL,874102,22-Sep-21,,,90241,90241,YTML-Stitching-YTM-07-General-Sampling-General,,,13.0,,,WITHOUR REPLACE,,6.0,19312,19312,DELUX CHEMICAL (FOR WASHING) (Consumable-Local),BOT,78.0,1886.0,,,,,8.0,144.0,,38086160.02,,,783755340.3,
2819,206,GENERAL,21,GENERAL MATERIAL,874102,22-Sep-21,,,90241,90241,YTML-Stitching-YTM-07-General-Sampling-General,,,33.0,,,,,2.0,19383,19383,ERASER AL-30(PELIKEN) (I NO.2161) (Consumable-Local),PCS,66.0,72.0,,,,,8.0,144.0,,38086160.02,,,783755340.3,
2894,211,GLOVES,21,GENERAL MATERIAL,876894,02-Oct-21,,,90241,90241,YTML-Stitching-YTM-07-General-Sampling-General,,,5200.0,,,,,1.0,22486,22486,MESH GLOVES (SS) (Consumable-Local),NOS,5200.0,8.0,,,,,1.0,5200.0,,38086160.02,,,783755340.3,
2967,220,GUN,16,TOOLS & INSTRUMENTS,861819,04-Aug-21,,,90241,90241,YTML-Stitching-YTM-07-General-Sampling-General,,,4500.0,,,,,1.0,14642,14642,TEXTILE GUN CM-11 ARROW TAIWAN (Consumable-Local),NOS,4500.0,8.0,,,,,1.0,4500.0,,38086160.02,,,783755340.3,
2968,220,GUN,16,TOOLS & INSTRUMENTS,876894,02-Oct-21,,,90241,90241,YTML-Stitching-YTM-07-General-Sampling-General,,,4500.0,,,,,1.0,14642,14642,TEXTILE GUN CM-11 ARROW TAIWAN (Consumable-Local),NOS,4500.0,7.0,,,,,1.0,4500.0,,38086160.02,,,783755340.3,
3862,278,LOCK,19,"HARDWARE MATERIAL, PIPE & FITTINGS",874102,22-Sep-21,,,90241,90241,YTML-Stitching-YTM-07-General-Sampling-General,,,118.0,,,,,1.0,16649,16649,LOCK (DRAWER LOCK) KHAS #138-22MM (Consumable-Local),NOS,118.0,5.0,,,,,1.0,118.0,,38086160.02,,,783755340.3,
4132,283,MACHINE,17,ELECTRICAL,851385,18-Jun-21,,,90241,90241,YTML-Stitching-YTM-07-General-Sampling-General,,,7000.0,,,,,1.0,7734721001,7734721001,ROUND CUTTER  MACHINE MODEL RS-100 (---) (L-C) (Consumable-Local),NOS,7000.0,0.0,,,,,1.0,7000.0,,38086160.02,,,783755340.3,
9425,406,SHEET,20,STATIONARY,886216,09-Nov-21,,,90241,90241,YTML-Stitching-YTM-07-General-Sampling-General,,,130.0,,,,,500.0,7987721001,7987721001,"CRAFT CARD SHEET 52""X53"" 450GM (---) (L-C) (Consumable-Local)",NOS,65000.0,0.0,,,,,500.0,65000.0,,38086160.02,,,783755340.3,
9813,440,STAPLER,20,STATIONARY,874102,22-Sep-21,,,90241,90241,YTML-Stitching-YTM-07-General-Sampling-General,,,156.0,,,,,1.0,22462,22462,STAPLER MACHINE 24/6 OPAL HD-45 (Consumable-Local),NOS,156.0,15.0,,,,,1.0,156.0,,38086160.02,,,783755340.3,
10773,443,STATIONERY,20,STATIONARY,874102,22-Sep-21,,,90241,90241,YTML-Stitching-YTM-07-General-Sampling-General,,,8.4,,,,,24.0,9821,9821,PENCIL DUX (Consumable-Local),NOS,201.6,162.0,,,,,39.0,382.7202679,,38086160.02,,,783755340.3,
10774,443,STATIONERY,20,STATIONARY,874102,22-Sep-21,,,90241,90241,YTML-Stitching-YTM-07-General-Sampling-General,,,7.15,,,,,10.0,9795,9795,PEN (BALL PEN) BLUE CLEAR STICK (Consumable-Local),NOS,71.5,333.0,,,,,39.0,382.7202679,,38086160.02,,,783755340.3,
10775,443,STATIONERY,20,STATIONARY,874102,22-Sep-21,,,90241,90241,YTML-Stitching-YTM-07-General-Sampling-General,,,35.75,,,,,2.0,9639,9639,PAD (ROUGH PAD)  LEADER  (LARGE) (Consumable-Local),NOS,71.5,22.0,,,,,39.0,382.7202679,,38086160.02,,,783755340.3,
10776,443,STATIONERY,20,STATIONARY,874102,22-Sep-21,,,90241,90241,YTML-Stitching-YTM-07-General-Sampling-General,,,5.000006536,,,,,2.0,22459,22459,SHARPNER DUX (Consumable-Local),NOS,10.00001307,27.0,,,,,39.0,382.7202679,,38086160.02,,,783755340.3,
10777,443,STATIONERY,20,STATIONARY,874102,22-Sep-21,,,90241,90241,YTML-Stitching-YTM-07-General-Sampling-General,,,28.12025485,,,,,1.0,13913,13913,STAPLER PIN 24/6 (Consumable-Local),PKT,28.12025485,4.0,,,,,39.0,382.7202679,,38086160.02,,,783755340.3,
