,ITEM_CTG_ID,ITEM_CTG_DESC,ITEM_GRP_ID,ITEM_GRP_DESC,GINNO,GINDATE,ENTITY,SEGMENT,COST_CENTER,C_CENTER_ID,C_CENTER_NAME,JOBNO,UNITNO,RATE,MACHINENO1,MARATE,REMARKS,CAPITAL,QUANTITY,ITEMNO,INVENTORY_ITEM_NO,INV_ITEM_DESCRIPTION,UOM_DESC,AMOUNT1,BAL1,MDESC1,LASTISSUE1,LASTISSUEDT,COSTCENTER,SUMQTY,SUMAMT,GAP,GAMOUNT,CODE1,CODE2,GQTY,PERIOD
148,30,BELL,17,ELECTRICAL,879407,13-Oct-21,,,90229,90229,YTML-Stitching-YTM-07- Bldg A-General-General,,,2035.0,,,,,4.0,43897,43897,"ALARAM BELL 12"" 220 V (Consumable-Local)",NOS,8140.0,8.0,,,,,4.0,8140.0,,38086160.02,,,783755340.3,
226,33,BEND,17,ELECTRICAL,879407,13-Oct-21,,,90229,90229,YTML-Stitching-YTM-07- Bldg A-General-General,,,12.0,,,,,50.0,8523,8523,"MS CONDUTE BEND 3/4"" (Consumable-Local)",NOS,600.0,40.0,,,,,50.0,600.0,,38086160.02,,,783755340.3,
568,45,BOLT/NUT,19,"HARDWARE MATERIAL, PIPE & FITTINGS",830032,18-Mar-21,,,90229,90229,YTML-Stitching-YTM-07- Bldg A-General-General,,,28.0,,,,,57.0,11065,11065,RAWAL BOLT 10X70 (Consumable-Local),NOS,1596.0,23.0,,,,,57.0,1596.0,,38086160.02,,,783755340.3,
968,53,BREAKER,17,ELECTRICAL,844614,22-May-21,,,90229,90229,YTML-Stitching-YTM-07- Bldg A-General-General,,,8000.0,,,,,2.0,6414522001,6414522001,"MCCB 63 AMPS, TP, (ADJ. 50-63A) R.C 36KA (---) (L-F) (Fixed-Local)",NOS,16000.0,2.0,,,,,2.0,16000.0,,38086160.02,,,783755340.3,
991,58,BRUSH,19,"HARDWARE MATERIAL, PIPE & FITTINGS",830032,18-Mar-21,,,90229,90229,YTML-Stitching-YTM-07- Bldg A-General-General,,,230.0,,,,,1.0,30056,30056,"PAINT BRUSH 3"" ELITE (Consumable-Local)",NOS,230.0,11.0,,,,,1.0,230.0,,38086160.02,,,783755340.3,
992,58,BRUSH,19,"HARDWARE MATERIAL, PIPE & FITTINGS",845212,25-May-21,,,90229,90229,YTML-Stitching-YTM-07- Bldg A-General-General,,,230.0,,,,,2.0,30056,30056,"PAINT BRUSH 3"" ELITE (Consumable-Local)",NOS,460.0,9.0,,,,,2.0,460.0,,38086160.02,,,783755340.3,
999,58,BRUSH,19,"HARDWARE MATERIAL, PIPE & FITTINGS",856925,10-Jul-21,,,90229,90229,YTML-Stitching-YTM-07- Bldg A-General-General,,,230.0,,,,,2.0,30056,30056,"PAINT BRUSH 3"" ELITE (Consumable-Local)",NOS,460.0,2.0,,,,,2.0,460.0,,38086160.02,,,783755340.3,
1315,89,CHAIR,21,GENERAL MATERIAL,882825,26-Oct-21,,,90229,90229,YTML-Stitching-YTM-07- Bldg A-General-General,,,11900.0,,,,,1.0,7516322001,7516322001,EXECUTIVE COMFY CHAIR (---) (L-F) (Fixed-Local),NOS,11900.0,1.0,,,,,1.0,11900.0,,38086160.02,,,783755340.3,
1673,122,CONNECTOR,17,ELECTRICAL,879407,13-Oct-21,,,90229,90229,YTML-Stitching-YTM-07- Bldg A-General-General,,,80.0,,,,,20.0,3322,3322,CONNECTOR STRIP 30 AMP (PVC) (Consumable-Local),NOS,1600.0,40.0,,,,,20.0,1600.0,,38086160.02,,,783755340.3,
1750,146,CUTTER,16,TOOLS & INSTRUMENTS,824280,02-Mar-21,,,90229,90229,YTML-Stitching-YTM-07- Bldg A-General-General,,,7429.0,,,,,1.0,5599921001,5599921001,MINI HAND DRILL 12V DC MODEL # PT-1201F (---) (Consumable-Local),NOS,7429.0,0.0,,,,,1.0,7429.0,,38086160.02,,,783755340.3,
1820,156,DISC,19,"HARDWARE MATERIAL, PIPE & FITTINGS",839218,26-Apr-21,,,90229,90229,YTML-Stitching-YTM-07- Bldg A-General-General,,,130.0,,,,,50.0,47077,47077,"CUTTING DISK RHODIUS  1MMX5"" (Consumable-Local)",NOS,6500.0,100.0,,,,,50.0,6500.0,,38086160.02,,,783755340.3,
1821,156,DISC,19,"HARDWARE MATERIAL, PIPE & FITTINGS",842198,10-May-21,,,90229,90229,YTML-Stitching-YTM-07- Bldg A-General-General,,,130.0,,,,,50.0,47077,47077,"CUTTING DISK RHODIUS  1MMX5"" (Consumable-Local)",NOS,6500.0,50.0,,,,,50.0,6500.0,,38086160.02,,,783755340.3,
1822,156,DISC,19,"HARDWARE MATERIAL, PIPE & FITTINGS",843331,17-May-21,,,90229,90229,YTML-Stitching-YTM-07- Bldg A-General-General,,,130.0,,,,,50.0,47077,47077,"CUTTING DISK RHODIUS  1MMX5"" (Consumable-Local)",NOS,6500.0,0.0,,,,,50.0,6500.0,,38086160.02,,,783755340.3,
1856,165,DRILL,16,TOOLS & INSTRUMENTS,836374,13-Apr-21,,,90229,90229,YTML-Stitching-YTM-07- Bldg A-General-General,,,22500.0,,,,,1.0,38392,38392,DRILL MACHINE DEWALT MODEL # D25124K (Consumable-Local),NOS,22500.0,0.0,,,,,1.0,22500.0,,38086160.02,,,783755340.3,
1880,173,ELBOW,19,"HARDWARE MATERIAL, PIPE & FITTINGS",839392,26-Apr-21,,,90229,90229,YTML-Stitching-YTM-07- Bldg A-General-General,,,60.0,,,,,4.0,27579,27579,"ELBOW 1"" (MS) WELDED SCH-40 (Fixed-Local)",NOS,240.0,0.0,,,,,4.0,240.0,,38086160.02,,,783755340.3,
1901,174,ELECTRODE,19,"HARDWARE MATERIAL, PIPE & FITTINGS",845212,25-May-21,,,90229,90229,YTML-Stitching-YTM-07- Bldg A-General-General,,,260.0,,,,,5.0,17614,17614,ELECTRODE MS. 6013 #.12 (Consumable-Local),KGS,1300.0,20.0,,,,,5.0,1300.0,,38086160.02,,,783755340.3,
2118,191,FILTER,18,MECHANICAL,861285,31-Jul-21,,,90229,90229,YTML-Stitching-YTM-07- Bldg A-General-General,,,4185.7,,,,,1.0,7620321001,7620321001,OIL FILTERS - P# 2090003 (---) (L-C) (Consumable-Local),NOS,4185.7,0.0,,,,,2.0,12572.3,,38086160.02,,,783755340.3,
2119,191,FILTER,18,MECHANICAL,861285,31-Jul-21,,,90229,90229,YTML-Stitching-YTM-07- Bldg A-General-General,,,8386.6,,,,,1.0,7620221001,7620221001,AIR FILTER - P# 2090016 (---) (L-C) (Consumable-Local),NOS,8386.6,1.0,,,,,2.0,12572.3,,38086160.02,,,783755340.3,
2582,206,GENERAL,21,GENERAL MATERIAL,793313,27-Oct-20,,,90229,90229,YTML-Stitching-YTM-07- Bldg A-General-General,,,350.0,,,,,2.0,19771,19771,INSECT KILLER FINIS (MORTIEN) (Consumable-Local),PCS,700.0,14.0,,,,,2.0,700.0,,38086160.02,,,783755340.3,
2693,206,GENERAL,21,GENERAL MATERIAL,833010,30-Mar-21,,,90229,90229,YTML-Stitching-YTM-07- Bldg A-General-General,,,5.0,,,,,100.0,19984,19984,MACHINE BREAK DOWN CARD (Consumable-Local),PCS,500.0,1150.0,,,,,100.0,500.0,,38086160.02,,,783755340.3,
2709,206,GENERAL,21,GENERAL MATERIAL,840948,05-May-21,,,90229,90229,YTML-Stitching-YTM-07- Bldg A-General-General,,,194.25,,,,,198.0,21462,21462,WHITE OIL (FOR MACHINE) (Consumable-Local),LTR,38461.5,198.0,,,,,198.0,38461.5,,38086160.02,,,783755340.3,
2714,206,GENERAL,21,GENERAL MATERIAL,844122,22-May-21,,,90229,90229,YTML-Stitching-YTM-07- Bldg A-General-General,,,213.67,,,,,132.0,21462,21462,WHITE OIL (FOR MACHINE) (Consumable-Local),LTR,28204.44,0.0,,,,,132.0,28204.44,,38086160.02,,,783755340.3,
2798,206,GENERAL,21,GENERAL MATERIAL,870656,09-Sep-21,,,90229,90229,YTML-Stitching-YTM-07- Bldg A-General-General,,,5.0,,,,,215.0,19984,19984,MACHINE BREAK DOWN CARD (Consumable-Local),PCS,1075.0,0.0,,,,,215.0,1075.0,,38086160.02,,,783755340.3,
