,ITEM_CTG_ID,ITEM_CTG_DESC,ITEM_GRP_ID,ITEM_GRP_DESC,GINNO,GINDATE,ENTITY,SEGMENT,COST_CENTER,C_CENTER_ID,C_CENTER_NAME,JOBNO,UNITNO,RATE,MACHINENO1,MARATE,REMARKS,CAPITAL,QUANTITY,ITEMNO,INVENTORY_ITEM_NO,INV_ITEM_DESCRIPTION,UOM_DESC,AMOUNT1,BAL1,MDESC1,LASTISSUE1,LASTISSUEDT,COSTCENTER,SUMQTY,SUMAMT,GAP,GAMOUNT,CODE1,CODE2,GQTY,PERIOD
91,23,BAR,11,SPARE PARTS,833807,03-Apr-21,,,90181,90181,YTML-Stitching-YTM-07-General-Maintenance-General,,,100.0,,,,,1.0,20063,20063,NEEDLE BAR (110-35003) (JUKI) (Consumable-Local),PCS,100.0,33.0,,,,,1.0,100.0,,38086160.02,,,783755340.3,
93,23,BAR,11,SPARE PARTS,836654,14-Apr-21,,,90181,90181,YTML-Stitching-YTM-07-General-Maintenance-General,,,188.1,,,,,3.0,20078,20078,NEEDLE BAR BUSH DELTA (COMFORTER (Consumable-Local),PCS,564.3,3.0,,,,,3.0,564.3,,38086160.02,,,783755340.3,
94,23,BAR,11,SPARE PARTS,836969,21-Apr-21,,,90181,90181,YTML-Stitching-YTM-07-General-Maintenance-General,,,100.0,,,,,2.0,20063,20063,NEEDLE BAR (110-35003) (JUKI) (Consumable-Local),PCS,200.0,27.0,,,,,2.0,200.0,,38086160.02,,,783755340.3,
179,32,BELT,11,SPARE PARTS,813786,15-Jan-21,,,90181,90181,YTML-Stitching-YTM-07-General-Maintenance-General,,,4.0,,,,,200.0,20886,20886,SHARPING BELT (CUTTING MACHINE) (Consumable-Local),PCS,800.0,534.0,,,,,200.0,800.0,,38086160.02,,,783755340.3,
181,32,BELT,11,SPARE PARTS,816499,26-Jan-21,,,90181,90181,YTML-Stitching-YTM-07-General-Maintenance-General,,,4.0,,,,,100.0,20886,20886,SHARPING BELT (CUTTING MACHINE) (Consumable-Local),PCS,400.0,334.0,,,,,100.0,400.0,,38086160.02,,,783755340.3,
182,32,BELT,11,SPARE PARTS,817186,28-Jan-21,,,90181,90181,YTML-Stitching-YTM-07-General-Maintenance-General,,,4.0,,,,,100.0,20886,20886,SHARPING BELT (CUTTING MACHINE) (Consumable-Local),PCS,400.0,234.0,,,,,100.0,400.0,,38086160.02,,,783755340.3,
184,32,BELT,11,SPARE PARTS,825115,27-Feb-21,,,90181,90181,YTML-Stitching-YTM-07-General-Maintenance-General,,,4.162074554,,,,,200.0,20886,20886,SHARPING BELT (CUTTING MACHINE) (Consumable-Local),PCS,832.4149109,934.0,,,,,200.0,832.4149109,,38086160.02,,,783755340.3,
193,32,BELT,11,SPARE PARTS,862266,04-Aug-21,,,90181,90181,YTML-Stitching-YTM-07-General-Maintenance-General,,,750.0,,,,,2.0,43687,43687,ROUND OPTI BELT PJ-406 (PIPING CUTTER) (Consumable-Local),NOS,1500.0,1.0,,,,,2.0,1500.0,,38086160.02,,,783755340.3,
240,34,BIN,21,GENERAL MATERIAL,815347,22-Jan-21,,,90181,90181,YTML-Stitching-YTM-07-General-Maintenance-General,,,465.0,,,,,4.0,28482,28482,PLASTIC DUST BIN WITH PADEL (MEDIUM SIZE) (Consumable-Local),NOS,1860.0,8.0,,,,,4.0,1860.0,,38086160.02,,,783755340.3,
272,36,BLADE,11,SPARE PARTS,828365,12-Mar-21,,,90181,90181,YTML-Stitching-YTM-07-General-Maintenance-General,,,20.0,,,,,12.0,18850,18850,BLADE 3/4'' (KAJ MACHINE) (Consumable-Local),PCS,240.0,96.0,,,,,12.0,240.0,,38086160.02,,,783755340.3,
