,ITEM_CTG_ID,ITEM_CTG_DESC,ITEM_GRP_ID,ITEM_GRP_DESC,GINNO,GINDATE,ENTITY,SEGMENT,COST_CENTER,C_CENTER_ID,C_CENTER_NAME,JOBNO,UNITNO,RATE,MACHINENO1,MARATE,REMARKS,CAPITAL,QUANTITY,ITEMNO,INVENTORY_ITEM_NO,INV_ITEM_DESCRIPTION,UOM_DESC,AMOUNT1,BAL1,MDESC1,LASTISSUE1,LASTISSUEDT,COSTCENTER,SUMQTY,SUMAMT,GAP,GAMOUNT,CODE1,CODE2,GQTY,PERIOD
3,2,ADHESIVES & SOLUTIONS,19,"HARDWARE MATERIAL, PIPE & FITTINGS",835661,12-Apr-21,,,90176,90176,YTML-Stitching-YTM-07-Poly Fill Plant-General-General,,,510.0,,,for polyfill plant,,3.0,7979,7979,MAGIC DEPOXY STEEL LARGE (Consumable-Local),NOS,1530.0,2.0,,,,,3.0,1530.0,,38086160.02,,,783755340.3,
18,6,AIR CONDITIONER,22,ELECTRICAL EQUIPMENT,819105,04-Feb-21,,,90176,90176,YTML-Stitching-YTM-07-Poly Fill Plant-General-General,,,93590.0,,,,,1.0,7183322005,7183322005,SPLIT AIR CONDITIONER 2 TON WITH INVERTER (GREE) (L-F) (Fixed-Local),NOS,93590.0,0.0,,,,,1.0,93590.0,,38086160.02,,,783755340.3,
39,9,ANGLE,19,"HARDWARE MATERIAL, PIPE & FITTINGS",840951,17-May-21,,,90176,90176,YTML-Stitching-YTM-07-Poly Fill Plant-General-General,,,185.0,,,,,160.0,5701322001,5701322001,"MS ANGLE 2""X2""X1/4"" (---) (L-F) (Fixed-Local)",RFT,29600.0,100.0,,,,,160.0,29600.0,,38086160.02,,,783755340.3,
133,29,BEARING,11,SPARE PARTS,858913,27-Jul-21,,,90176,90176,YTML-Stitching-YTM-07-Poly Fill Plant-General-General,,,1180.0,,,,,4.0,1183,1183,BEARING UC-206 56206 FAG (Consumable-Local),NOS,4720.0,0.0,,,,,4.0,4720.0,,38086160.02,,,783755340.3,
140,29,BEARING,18,MECHANICAL,858913,27-Jul-21,,,90176,90176,YTML-Stitching-YTM-07-Poly Fill Plant-General-General,,,1980.0,,,,,4.0,33183,33183,"BEARING UC-210, FAG (Consumable-Local)",NOS,7920.0,0.0,,,,,4.0,7920.0,,38086160.02,,,783755340.3,
211,32,BELT,18,MECHANICAL,852648,24-Jun-21,,,90176,90176,YTML-Stitching-YTM-07-Poly Fill Plant-General-General,,,490.0,,,,,24.0,7763721001,7763721001,B-BELT NO. 2667MM (---) (L-C) (Consumable-Local),NOS,11760.0,0.0,,,,,144.0,67620.0,,38086160.02,,,783755340.3,
212,32,BELT,18,MECHANICAL,852648,24-Jun-21,,,90176,90176,YTML-Stitching-YTM-07-Poly Fill Plant-General-General,,,318.5,,,,,24.0,7763621001,7763621001,B-BELT NO. 1735MM (---) (L-C) (Consumable-Local),NOS,7644.0,0.0,,,,,144.0,67620.0,,38086160.02,,,783755340.3,
213,32,BELT,18,MECHANICAL,852648,24-Jun-21,,,90176,90176,YTML-Stitching-YTM-07-Poly Fill Plant-General-General,,,637.0,,,,,24.0,7763421001,7763421001,B-BELT NO. 3251MM (---) (L-C) (Consumable-Local),NOS,15288.0,0.0,,,,,144.0,67620.0,,38086160.02,,,783755340.3,
214,32,BELT,18,MECHANICAL,852648,24-Jun-21,,,90176,90176,YTML-Stitching-YTM-07-Poly Fill Plant-General-General,,,686.0,,,,,24.0,7763321001,7763321001,B-BELT NO. 3505MM (---) (L-C) (Consumable-Local),NOS,16464.0,0.0,,,,,144.0,67620.0,,38086160.02,,,783755340.3,
215,32,BELT,18,MECHANICAL,852648,24-Jun-21,,,90176,90176,YTML-Stitching-YTM-07-Poly Fill Plant-General-General,,,392.0,,,,,24.0,7763221001,7763221001,B-BELT NO. 2007MM (---) (L-C) (Consumable-Local),NOS,9408.0,0.0,,,,,144.0,67620.0,,38086160.02,,,783755340.3,
