,ITEM_CTG_ID,ITEM_CTG_DESC,ITEM_GRP_ID,ITEM_GRP_DESC,GINNO,GINDATE,ENTITY,SEGMENT,COST_CENTER,C_CENTER_ID,C_CENTER_NAME,JOBNO,UNITNO,RATE,MACHINENO1,MARATE,REMARKS,CAPITAL,QUANTITY,ITEMNO,INVENTORY_ITEM_NO,INV_ITEM_DESCRIPTION,UOM_DESC,AMOUNT1,BAL1,MDESC1,LASTISSUE1,LASTISSUEDT,COSTCENTER,SUMQTY,SUMAMT,GAP,GAMOUNT,CODE1,CODE2,GQTY,PERIOD
150,30,BELL,17,ELECTRICAL,879413,13-Oct-21,,,90263,90263,YTML-Stitching-YTM-07- Bldg C-General-General,,,2035.0,,,,,4.0,43897,43897,"ALARAM BELL 12"" 220 V (Consumable-Local)",NOS,8140.0,8.0,,,,,4.0,8140.0,,38086160.02,,,783755340.3,
228,33,BEND,17,ELECTRICAL,879413,13-Oct-21,,,90263,90263,YTML-Stitching-YTM-07- Bldg C-General-General,,,12.0,,,,,30.0,8523,8523,"MS CONDUTE BEND 3/4"" (Consumable-Local)",NOS,360.0,40.0,,,,,30.0,360.0,,38086160.02,,,783755340.3,
1026,58,BRUSH,19,"HARDWARE MATERIAL, PIPE & FITTINGS",887680,15-Nov-21,,,90263,90263,YTML-Stitching-YTM-07- Bldg C-General-General,,,390.0,,,,,3.0,43804,43804,"PAINT BRUSH 3"" UNIVERSAL DIAMOND (Consumable-Local)",NOS,1170.0,0.0,,,,,3.0,1170.0,,38086160.02,,,783755340.3,
1061,60,BULB/LIGHT/LAMP,17,ELECTRICAL,830597,22-Mar-21,,,90263,90263,YTML-Stitching-YTM-07- Bldg C-General-General,,,5500.0,,,,,4.0,6540722001,6540722001,LED PANEL LIGHT 2'X2' (---) (L-F) (Fixed-Local),NOS,22000.0,0.0,,,,,4.0,22000.0,,38086160.02,,,783755340.3,
1675,122,CONNECTOR,17,ELECTRICAL,879413,13-Oct-21,,,90263,90263,YTML-Stitching-YTM-07- Bldg C-General-General,,,80.0,,,,,20.0,3322,3322,CONNECTOR STRIP 30 AMP (PVC) (Consumable-Local),NOS,1600.0,40.0,,,,,20.0,1600.0,,38086160.02,,,783755340.3,
3356,236,HOSE,19,"HARDWARE MATERIAL, PIPE & FITTINGS",852990,24-Jun-21,,,90263,90263,YTML-Stitching-YTM-07- Bldg C-General-General,,,4.0,,,,,300.0,7122822001,7122822001,"PVC FLEXIBLE PIPE, 1"" (---) (L-F) (Fixed-Local)",RFT,1200.0,700.0,,,,,300.0,1200.0,,38086160.02,,,783755340.3,
7203,318,PAINT,19,"HARDWARE MATERIAL, PIPE & FITTINGS",887680,15-Nov-21,,,90263,90263,YTML-Stitching-YTM-07- Bldg C-General-General,,,467.0,,,,,7.28,26159,26159,OIL PAINT OFF WHITE ICI (Consumable-Local),LTR,3399.76,29.12,,,,,7.28,3399.76,,38086160.02,,,783755340.3,
7470,333,PIPE,17,ELECTRICAL,879413,13-Oct-21,,,90263,90263,YTML-Stitching-YTM-07- Bldg C-General-General,,,12.0,,,,,50.0,3247,3247,"CONDUTE PIPE 3/4"" (Consumable-Local)",RFT,600.0,0.0,,,,,50.0,600.0,,38086160.02,,,783755340.3,
7675,339,PLIER,16,TOOLS & INSTRUMENTS,860495,28-Jul-21,,,90263,90263,YTML-Stitching-YTM-07- Bldg C-General-General,,,1275.0,,,,,2.0,16668,16668,"PLAIR[INSOLATION] 10"" ELORA (Consumable-Local)",NOS,2550.0,6.0,,,,,3.0,2995.5,,38086160.02,,,783755340.3,
7676,339,PLIER,16,TOOLS & INSTRUMENTS,860495,28-Jul-21,,,90263,90263,YTML-Stitching-YTM-07- Bldg C-General-General,,,445.5,,,,,1.0,8754,8754,"NOSE PLIER 8"" (Consumable-Local)",NOS,445.5,0.0,,,,,3.0,2995.5,,38086160.02,,,783755340.3,
