,ITEM_CTG_ID,ITEM_CTG_DESC,ITEM_GRP_ID,ITEM_GRP_DESC,GINNO,GINDATE,ENTITY,SEGMENT,COST_CENTER,C_CENTER_ID,C_CENTER_NAME,JOBNO,UNITNO,RATE,MACHINENO1,MARATE,REMARKS,CAPITAL,QUANTITY,ITEMNO,INVENTORY_ITEM_NO,INV_ITEM_DESCRIPTION,UOM_DESC,AMOUNT1,BAL1,MDESC1,LASTISSUE1,LASTISSUEDT,COSTCENTER,SUMQTY,SUMAMT,GAP,GAMOUNT,CODE1,CODE2,GQTY,PERIOD
130,26,BATTERY,17,ELECTRICAL,871416,11-Sep-21,,,90179,90179,YTML-Stitching-YTM-07-General-Export WareHouse-General,,,8418.0,,,FORK LIFTER USE,,1.0,21622,21622,BATTERY 12V 100 AMP EX-100 96AH EXIDE (Consumable-Local),NOS,8418.0,0.0,,,,,1.0,8418.0,,38086160.02,,,783755340.3,
967,53,BREAKER,17,ELECTRICAL,841100,05-May-21,,,90179,90179,YTML-Stitching-YTM-07-General-Export WareHouse-General,,,2450.0,,,,,3.0,25202,25202,CIRCUIT BREAKER 10 - 16 AMP 3 POLESIEMENS (Consumable-Local),PCS,7350.0,0.0,,,,,3.0,7350.0,,38086160.02,,,783755340.3,
1077,60,BULB/LIGHT/LAMP,17,ELECTRICAL,856105,08-Jul-21,,,90179,90179,YTML-Stitching-YTM-07-General-Export WareHouse-General,,,13000.0,,,"FOR YTM-7 EXPORT W/H A,B E & F BUILDING USE",,40.0,7829521001,7829521001,ECO FLOOD LIGHT 200WATT (---) (L-C) (Consumable-Local),NOS,520000.0,0.0,,,,,40.0,520000.0,,38086160.02,,,783755340.3,
1203,68,CABLE,17,ELECTRICAL,855992,08-Jul-21,,,90179,90179,YTML-Stitching-YTM-07-General-Export WareHouse-General,,,1325.0,,,FOR YTM-7 EXPORT WAREHOUSE B-BUILDING OFFICE USE,,400.0,7799421001,7799421001,FLEXIBLE CABLE 5-CORE 10MM (---) (L-C) (Consumable-Local),MTR,530000.0,0.0,,,,,400.0,530000.0,,38086160.02,,,783755340.3,
1204,68,CABLE,17,ELECTRICAL,857679,14-Jul-21,,,90179,90179,YTML-Stitching-YTM-07-General-Export WareHouse-General,,,120.0,,,,,540.0,2102,2102,CABLE (FLEXIBLE CABLE) 1 CORE 6MM (Consumable-Local),MTR,64800.0,0.0,,,,,540.0,64800.0,,38086160.02,,,783755340.3,
1229,68,CABLE,17,ELECTRICAL,868933,07-Sep-21,,,90179,90179,YTML-Stitching-YTM-07-General-Export WareHouse-General,,,375.0,,,FOR YTM-7 EWH USE,,400.0,47624,47624,FLEXIBLE CABLE 4MM X 4 CORE PVC (Consumable-Local),MTR,150000.0,0.0,,,,,400.0,150000.0,,38086160.02,,,783755340.3,
1237,74,CAMERA,21,GENERAL MATERIAL,882905,27-Oct-21,,,90179,90179,YTML-Stitching-YTM-07-General-Export WareHouse-General,,,22000.0,,,"AGAINST SIN NO,881703",,4.0,7100321002,7100321002,"DIGITAL CAMERA IMAGE SQUARE POWER SHOT WITH MEMORY CARD & POUCH, IXUS-185 MEGA PIXEL-20 (CANON) (L-C) (Consumable-Local)",NOS,88000.0,0.0,,,,,4.0,88000.0,,38086160.02,,,783755340.3,
1317,89,CHAIR,21,GENERAL MATERIAL,885648,08-Nov-21,,,90179,90179,YTML-Stitching-YTM-07-General-Export WareHouse-General,,,9850.0,,,FOR STAFF USE YTM-7 BARCODE TEAM,,4.0,7516421001,7516421001,AERON LITE MESH CHAIR (---) (L-C) (Consumable-Local),NOS,39400.0,0.0,,,,,4.0,39400.0,,38086160.02,,,783755340.3,
1322,91,CHANNEL,17,ELECTRICAL,841100,05-May-21,,,90179,90179,YTML-Stitching-YTM-07-General-Export WareHouse-General,,,48.0,,,,,200.0,27982,27982,CHANNEL PATTI (PVC) DURA DUCT 20 X 40 MM (Consumable-Local),RFT,9600.0,0.0,,,,,200.0,9600.0,,38086160.02,,,783755340.3,
1716,144,CROCKERY,21,GENERAL MATERIAL,886430,09-Nov-21,,,90179,90179,YTML-Stitching-YTM-07-General-Export WareHouse-General,,,66.0,,,YTM-7 A-BUILDING EWH OFFICE USE,,6.0,16503,16503,SPOON (RICE SPOON) (Consumable-Local),NOS,396.0,0.0,,,,,12.0,2659.5,,38086160.02,,,783755340.3,
