,ITEM_CTG_ID,ITEM_CTG_DESC,ITEM_GRP_ID,ITEM_GRP_DESC,GINNO,GINDATE,ENTITY,SEGMENT,COST_CENTER,C_CENTER_ID,C_CENTER_NAME,JOBNO,UNITNO,RATE,MACHINENO1,MARATE,REMARKS,CAPITAL,QUANTITY,ITEMNO,INVENTORY_ITEM_NO,INV_ITEM_DESCRIPTION,UOM_DESC,AMOUNT1,BAL1,MDESC1,LASTISSUE1,LASTISSUEDT,COSTCENTER,SUMQTY,SUMAMT,GAP,GAMOUNT,CODE1,CODE2,GQTY,PERIOD
1059,60,BULB/LIGHT/LAMP,17,ELECTRICAL,827411,24-Mar-21,,,90231,90231,YTML-Stitching-YTM-07-General-Quality-Q/A Accessories,,,1100000.0,,,,,1.0,6687622001,6687622001,"SPECTRA LIGHT QC (D65/U35/TL84/CWF/UV/HR/A) 230V WITHOUT REMOTE CONTROL INCLUDES LUMINAIRE, BOOTH,USB CABLE AND USER SOFTWARE PART # SPQS65CBDEN7 (---) (L-F) (Fixed-Local)",SET,1100000.0,0.0,,,,,1.0,1100000.0,,38086160.02,,,783755340.3,
1642,107,CLOSER,19,"HARDWARE MATERIAL, PIPE & FITTINGS",863327,10-Aug-21,,,90231,90231,YTML-Stitching-YTM-07-General-Quality-Q/A Accessories,,,1320.0,,,,,1.0,4119,4119,DOOR CLOSER MODEL KTC (KGI) (Consumable-Local),NOS,1320.0,7.0,,,,,1.0,1320.0,,38086160.02,,,783755340.3,
2079,189,FILE,20,STATIONARY,873729,20-Sep-21,,,90231,90231,YTML-Stitching-YTM-07-General-Quality-Q/A Accessories,,,99.0,,,,,15.0,22457,22457,BOX FILE KORONA (Consumable-Local),PCS,1485.0,106.0,,,,,15.0,1485.0,,38086160.02,,,783755340.3,
2764,206,GENERAL,21,GENERAL MATERIAL,862394,06-Aug-21,,,90231,90231,YTML-Stitching-YTM-07-General-Quality-Q/A Accessories,,,99.0,,,,,12.0,18968,18968,BOX FILE KARONA (I NO.320) (Consumable-Local),PCS,1188.0,17.0,,,,,13.0,1221.0,,38086160.02,,,783755340.3,
2765,206,GENERAL,21,GENERAL MATERIAL,862394,06-Aug-21,,,90231,90231,YTML-Stitching-YTM-07-General-Quality-Q/A Accessories,,,33.0,,,,,1.0,19383,19383,ERASER AL-30(PELIKEN) (I NO.2161) (Consumable-Local),PCS,33.0,3.0,,,,,13.0,1221.0,,38086160.02,,,783755340.3,
2807,206,GENERAL,21,GENERAL MATERIAL,873729,20-Sep-21,,,90231,90231,YTML-Stitching-YTM-07-General-Quality-Q/A Accessories,,,375.0,,,,,1.0,19771,19771,INSECT KILLER FINIS (MORTIEN) (Consumable-Local),PCS,375.0,19.0,,,,,3.0,441.0,,38086160.02,,,783755340.3,
2808,206,GENERAL,21,GENERAL MATERIAL,873729,20-Sep-21,,,90231,90231,YTML-Stitching-YTM-07-General-Quality-Q/A Accessories,,,33.0,,,,,2.0,19383,19383,ERASER AL-30(PELIKEN) (I NO.2161) (Consumable-Local),PCS,66.0,87.0,,,,,3.0,441.0,,38086160.02,,,783755340.3,
2839,206,GENERAL,21,GENERAL MATERIAL,875660,29-Sep-21,,,90231,90231,YTML-Stitching-YTM-07-General-Quality-Q/A Accessories,,,183.75,,,,,5.0,21124,21124,TEA CUP (Consumable-Local),PCS,918.75,0.0,,,,,5.0,918.75,,38086160.02,,,783755340.3,
3541,252,JANITORIAL/HOUSEHOLD,21,GENERAL MATERIAL,873729,20-Sep-21,,,90231,90231,YTML-Stitching-YTM-07-General-Quality-Q/A Accessories,,,185.0,,,,,1.0,22799,22799,AIR FRESHNER LOTION ADMIRE 400ML (Consumable-Local),BOT,185.0,29.0,,,,,1.0,185.0,,38086160.02,,,783755340.3,
10620,443,STATIONERY,20,STATIONARY,862394,06-Aug-21,,,90231,90231,YTML-Stitching-YTM-07-General-Quality-Q/A Accessories,,,35.75,,,,,2.0,9639,9639,PAD (ROUGH PAD)  LEADER  (LARGE) (Consumable-Local),NOS,71.5,0.0,,,,,58.0,1418.720377,,38086160.02,,,783755340.3,
10621,443,STATIONERY,20,STATIONARY,862394,06-Aug-21,,,90231,90231,YTML-Stitching-YTM-07-General-Quality-Q/A Accessories,,,35.75,,,,,2.0,9640,9640,ROUGH PAD LEADER SMALL (Consumable-Local),NOS,71.5,0.0,,,,,58.0,1418.720377,,38086160.02,,,783755340.3,
10622,443,STATIONERY,20,STATIONARY,862394,06-Aug-21,,,90231,90231,YTML-Stitching-YTM-07-General-Quality-Q/A Accessories,,,184.77375,,,,,1.0,6695,6695,HOLE PUNCH MACHINE (Consumable-Local),NOS,184.77375,0.0,,,,,58.0,1418.720377,,38086160.02,,,783755340.3,
10623,443,STATIONERY,20,STATIONARY,862394,06-Aug-21,,,90231,90231,YTML-Stitching-YTM-07-General-Quality-Q/A Accessories,,,5.000333333,,,,,1.0,22459,22459,SHARPNER DUX (Consumable-Local),NOS,5.000333333,5.0,,,,,58.0,1418.720377,,38086160.02,,,783755340.3,
10624,443,STATIONERY,20,STATIONARY,862394,06-Aug-21,,,90231,90231,YTML-Stitching-YTM-07-General-Quality-Q/A Accessories,,,8.4,,,,,6.0,9821,9821,PENCIL DUX (Consumable-Local),NOS,50.4,0.0,,,,,58.0,1418.720377,,38086160.02,,,783755340.3,
10625,443,STATIONERY,20,STATIONARY,862394,06-Aug-21,,,90231,90231,YTML-Stitching-YTM-07-General-Quality-Q/A Accessories,,,90.5,,,,,2.0,6621,6621,HIGH LIGHTER PEN YELLOW PELIKAN (Consumable-Local),PCS,181.0,1.0,,,,,58.0,1418.720377,,38086160.02,,,783755340.3,
10626,443,STATIONERY,20,STATIONARY,862394,06-Aug-21,,,90231,90231,YTML-Stitching-YTM-07-General-Quality-Q/A Accessories,,,90.5,,,,,2.0,6619,6619,HIGH LIGHTER PEN PINK PELIKAN (Consumable-Local),PCS,181.0,4.0,,,,,58.0,1418.720377,,38086160.02,,,783755340.3,
10627,443,STATIONERY,20,STATIONARY,862394,06-Aug-21,,,90231,90231,YTML-Stitching-YTM-07-General-Quality-Q/A Accessories,,,6.581,,,,,20.0,9795,9795,PEN (BALL PEN) BLUE CLEAR STICK (Consumable-Local),NOS,131.62,77.0,,,,,58.0,1418.720377,,38086160.02,,,783755340.3,
10628,443,STATIONERY,20,STATIONARY,862394,06-Aug-21,,,90231,90231,YTML-Stitching-YTM-07-General-Quality-Q/A Accessories,,,6.272,,,,,6.0,9794,9794,PEN (BALL PEN) BLACK CLEAR STICK (Consumable-Local),NOS,37.632,0.0,,,,,58.0,1418.720377,,38086160.02,,,783755340.3,
10629,443,STATIONERY,20,STATIONARY,862394,06-Aug-21,,,90231,90231,YTML-Stitching-YTM-07-General-Quality-Q/A Accessories,,,24.6,,,,,12.0,9810,9810,PEN (MARKER) DOLLER A-70 BLACK (Consumable-Local),NOS,295.2,40.0,,,,,58.0,1418.720377,,38086160.02,,,783755340.3,
10630,443,STATIONERY,20,STATIONARY,862394,06-Aug-21,,,90231,90231,YTML-Stitching-YTM-07-General-Quality-Q/A Accessories,,,124.7335294,,,,,1.0,22476,22476,CORRECTION PEN TYPE (UNI CORRECTION) (Consumable-Local),NOS,124.7335294,0.0,,,,,58.0,1418.720377,,38086160.02,,,783755340.3,
10631,443,STATIONERY,20,STATIONARY,862394,06-Aug-21,,,90231,90231,YTML-Stitching-YTM-07-General-Quality-Q/A Accessories,,,28.12025485,,,,,3.0,13913,13913,STAPLER PIN 24/6 (Consumable-Local),PKT,84.36076456,20.0,,,,,58.0,1418.720377,,38086160.02,,,783755340.3,
