,ITEM_CTG_ID,ITEM_CTG_DESC,ITEM_GRP_ID,ITEM_GRP_DESC,GINNO,GINDATE,ENTITY,SEGMENT,COST_CENTER,C_CENTER_ID,C_CENTER_NAME,JOBNO,UNITNO,RATE,MACHINENO1,MARATE,REMARKS,CAPITAL,QUANTITY,ITEMNO,INVENTORY_ITEM_NO,INV_ITEM_DESCRIPTION,UOM_DESC,AMOUNT1,BAL1,MDESC1,LASTISSUE1,LASTISSUEDT,COSTCENTER,SUMQTY,SUMAMT,GAP,GAMOUNT,CODE1,CODE2,GQTY,PERIOD
2,2,ADHESIVES & SOLUTIONS,19,"HARDWARE MATERIAL, PIPE & FITTINGS",827427,09-Mar-21,,,90248,90248,YTML-Stitching-YTM-07-Stitching - Central-Cutting-General,,,510.0,,,,,2.0,7979,7979,MAGIC DEPOXY STEEL LARGE (Consumable-Local),NOS,1020.0,5.0,,,,,2.0,1020.0,,38086160.02,,,783755340.3,
7,2,ADHESIVES & SOLUTIONS,21,GENERAL MATERIAL,810548,07-Jan-21,,,90248,90248,YTML-Stitching-YTM-07-Stitching - Central-Cutting-General,,,435.0,,,,,8.0,13445,13445,SOLUTION 1 KG TIN CEMENTEX (Consumable-Local),KGS,3480.0,0.0,,,,,8.0,3480.0,,38086160.02,,,783755340.3,
16,6,AIR CONDITIONER,22,ELECTRICAL EQUIPMENT,806914,23-Dec-20,,,90248,90248,YTML-Stitching-YTM-07-Stitching - Central-Cutting-General,,,16500.0,,,,,2.0,7201821003,7201821003,AIR CONDITIONER SPLIT A/C COMPRESSOR ROTARY 1.5TON FOR MODEL# KEE 18S (KENWOOD) (L-C) (Consumable-Local),NOS,33000.0,4.0,,,,,2.0,33000.0,,38086160.02,,,783755340.3,
17,6,AIR CONDITIONER,22,ELECTRICAL EQUIPMENT,815224,22-Jan-21,,,90248,90248,YTML-Stitching-YTM-07-Stitching - Central-Cutting-General,,,63590.0,,,,,4.0,42987,42987,AIR CONDITIONER 1.5 TON (GREE G10 INVERTER) (Fixed-Local),NOS,254360.0,2.0,,,,,4.0,254360.0,,38086160.02,,,783755340.3,
23,6,AIR CONDITIONER,22,ELECTRICAL EQUIPMENT,849380,12-Jun-21,,,90248,90248,YTML-Stitching-YTM-07-Stitching - Central-Cutting-General,,,16500.0,,,,,1.0,7201821003,7201821003,AIR CONDITIONER SPLIT A/C COMPRESSOR ROTARY 1.5TON FOR MODEL# KEE 18S (KENWOOD) (L-C) (Consumable-Local),NOS,16500.0,1.0,,,,,1.0,16500.0,,38086160.02,,,783755340.3,
144,29,BEARING,18,MECHANICAL,881632,21-Oct-21,,,90248,90248,YTML-Stitching-YTM-07-Stitching - Central-Cutting-General,,,645.0,,,,,2.0,648,648,BALL BEARING 6205-2RS SKF (Consumable-Local),NOS,1290.0,2.0,,,,,2.0,1290.0,,38086160.02,,,783755340.3,
185,32,BELT,11,SPARE PARTS,830701,22-Mar-21,,,90248,90248,YTML-Stitching-YTM-07-Stitching - Central-Cutting-General,,,4.162074554,,,,,200.0,20886,20886,SHARPING BELT (CUTTING MACHINE) (Consumable-Local),PCS,832.4149109,734.0,,,,,200.0,832.4149109,,38086160.02,,,783755340.3,
186,32,BELT,11,SPARE PARTS,835852,12-Apr-21,,,90248,90248,YTML-Stitching-YTM-07-Stitching - Central-Cutting-General,,,4.162074554,,,,,200.0,20886,20886,SHARPING BELT (CUTTING MACHINE) (Consumable-Local),PCS,832.4149109,534.0,,,,,200.0,832.4149109,,38086160.02,,,783755340.3,
188,32,BELT,11,SPARE PARTS,843878,20-May-21,,,90248,90248,YTML-Stitching-YTM-07-Stitching - Central-Cutting-General,,,4.162074554,,,,,200.0,20886,20886,SHARPING BELT (CUTTING MACHINE) (Consumable-Local),PCS,832.4149109,314.0,,,,,200.0,832.4149109,,38086160.02,,,783755340.3,
189,32,BELT,11,SPARE PARTS,845108,25-May-21,,,90248,90248,YTML-Stitching-YTM-07-Stitching - Central-Cutting-General,,,4.162074554,,,,,200.0,20886,20886,SHARPING BELT (CUTTING MACHINE) (Consumable-Local),PCS,832.4149109,114.0,,,,,200.0,832.4149109,,38086160.02,,,783755340.3,
